review_id,review_text,rating,sentiment,toxicity
1,"음식이 너무 맛있고 사장님도 친절해요",5,2,0
2,"진짜 최악... 두 번 다시 안 감",1,0,1
3,"그냥 보통이에요",3,1,0
4,"양도 많고 가격도 착해서 만족합니다",5,2,0
5,"그럭저럭 먹을 만했어요",3,1,0
6,"기본은 하는데 감동은 없음",3,1,0
7,"분위기 좋고 직원들도 상냥함",5,2,0
8,"서비스 진짜 별로였어요",1,0,0
9,"맛은 있는데 양이 적어요",3,1,0
10,"개맛없음;; 돈 아까움",1,0,1
11,"재방문 의사 있음. 꽤 괜찮았음",4,2,0
12,"평범한 수준. 특별한 건 없음",3,1,0
13,"완전 추천! 다음에 또 올게요",5,2,0
14,"맛없진 않은데 딱히 좋지도 않음",3,1,0
15,"사진과 달라서 실망함",2,0,0
16,"존맛탱… 여기 꼭 가야함",5,2,0
17,"대기 시간이 너무 길었어요",2,0,0
18,"직원 불친절… 기분 나빴음",1,0,1
19,"가성비 괜찮고 깔끔함",4,2,0
20,"음식이 차갑게 나옴",2,0,0
21,"친구들이랑 오기 딱 좋음",5,2,0
22,"내 취향은 아니었음",2,0,0
23,"맛은 괜찮았는데 서비스가 느림",3,1,0
24,"대체 왜 이렇게 유명한지 모르겠음",2,0,0
25,"친절하고 청결해서 마음에 든다",5,2,0
26,"음료는 맛있는데 디저트는 별로",3,1,0
27,"양 적고 비싸고 불친절함",1,0,0
28,"정말 실망스러웠다. 다시는 안 감",1,0,0
29,"보통이에요. 그냥 배고파서 먹음",3,1,0
30,"너무 짜요. 혀가 아플 정도",2,0,0
31,"맛도 좋고 플레이팅도 예쁨",5,2,0
32,"전체적으로 무난함",3,1,0
33,"친구 추천받고 갔는데 기대보다 좋아요",5,2,0
34,"직원이 너무 시끄럽게 대화함",2,0,0
35,"포장인데 친절하게 설명해줌",4,2,0
36,"깔끔한데 뭔가 아쉬움",3,1,0
37,"비위생적임… 머리카락 나옴",1,0,1
38,"그냥 그래요. 평범한 맛",3,1,0
39,"계산 실수해서 기분 언짢았음",2,0,0
40,"맛도 괜찮고 양도 충분했음",4,2,0
41,"여기 괜찮네요. 추천합니다",5,2,0
42,"완전 별로. 와서 후회함",1,0,0
43,"보통 수준의 서비스였음",3,1,0
44,"깔끔하고 편안한 분위기",5,2,0
45,"맛있긴 한데 웨이팅이 너무 길어요",4,2,0
46,"디저트가 조금 텁텁했음",3,1,0
47,"비싸기만 하고 맛없음",1,0,0
48,"친절하고 세심한 서비스",5,2,0
49,"음식이 늦게 나와서 아쉬움",2,0,0
50,"무난하게 먹고 나옴",3,1,0
51,"맛없고 서비스 최악임 ㅅㅂ",1,0,1
52,"조용하고 자리도 넓어서 좋음",5,2,0
53,"기대보다 평범함",3,1,0
54,"가격 대비 만족도 높음",4,2,0
55,"음식이 너무 달아요",2,0,0
56,"친구들 모두 만족했음",5,2,0
57,"다 좋은데 양이 조금 부족함",4,2,0
58,"맛이 밍밍함. 다시는 안 먹음",1,0,0
59,"서비스가 빨라서 좋았음",4,2,0
60,"테이블이 너무 좁음",2,0,0
61,"부모님 모시고 갔는데 좋아하심",5,2,0
62,"맛은 평범, 가격은 비쌈",3,1,0
63,"사장님이 화내듯이 말함",1,0,1
64,"생각보다 괜찮았음",4,2,0
65,"깨끗하지만 맛은 그냥 그래요",3,1,0
66,"음식이 전반적으로 느끼함",2,0,0
67,"진짜 맛있고 양도 많음",5,2,0
68,"감동적인 맛은 아님",3,1,0
69,"불친절하고 주문 실수함",1,0,0
70,"분위기가 좋아서 또 올 듯",5,2,0
71,"배달 늦게 와서 식었음",2,0,0
72,"정말 맛있음! 대만족",5,2,0
73,"괜찮은데 특별함은 없음",3,1,0
74,"계산대 직원 말투가 불친절함",2,0,0
75,"양도 많고 퀄리티 좋음",5,2,0
76,"음식에서 탄 맛 났어요",2,0,0
77,"최고였음. 적극 추천",5,2,0
78,"다시는 안 사 먹을 듯",1,0,0
79,"평범한 편. 무난함",3,1,0
80,"친절하고 빠르게 처리해줌",5,2,0
81,"가격만 비싸고 맛은 별로",2,0,0
82,"맛있는데 살짝 짰음",4,2,0
83,"직원이 너무 무례함. 기분 나쁨",1,0,1
84,"점심에 가기 좋은 곳",4,2,0
85,"그냥 저냥 먹을 만함",3,1,0
86,"자리 좁고 시끄러움",2,0,0
87,"감동적인 서비스였음",5,2,0
88,"웨이팅 길어서 별로",2,0,0
89,"맛이 생각보다 좋아서 놀람",4,2,0
90,"돈값 못함. 비추",1,0,0
91,"딱 내 스타일임",5,2,0
92,"서비스 나쁘진 않지만 느림",3,1,0
93,"감정 상하게 만드는 직원 태도",1,0,1
94,"또 방문하고 싶음",5,2,0
95,"먹을 만했어요. 보통",3,1,0
96,"배달이 빨랐어요",4,2,0
97,"양도 적고 맛도 없음",1,0,0
98,"생각보다 음식이 괜찮았어요",4,2,0
99,"진짜 별로임. 맛 최악",1,0,0
100,"전체적으로 만족스러움",5,2,0